Filtering the log data using "process == "DietDailyMobile""
Timestamp                       (process)[PID]    
2025-10-04 19:11:38.090669+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:11:38.090683+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:11:38.090698+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:12:09.091654+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:12:09.091926+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has associations
2025-10-04 19:12:09.092049+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:12:09.092106+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has associations
2025-10-04 19:12:09.092152+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:12:09.092185+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has associations
2025-10-04 19:12:09.092214+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:12:09.092241+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:12:09.092266+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:12:09.092291+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:12:40.094270+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:12:40.094740+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has associations
2025-10-04 19:12:40.094811+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:12:40.094854+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has associations
2025-10-04 19:12:40.094947+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:12:40.095007+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has associations
2025-10-04 19:12:40.095057+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:12:40.095117+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:12:40.095146+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:12:40.095202+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:13:11.090536+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:13:11.090784+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has associations
2025-10-04 19:13:11.090837+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:13:11.090868+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has associations
2025-10-04 19:13:11.090905+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:13:11.090936+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has associations
2025-10-04 19:13:11.090964+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:13:11.090991+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:13:11.091016+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:13:11.091042+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:13:42.091639+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:13:42.091897+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has associations
2025-10-04 19:13:42.091969+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:13:42.092010+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has associations
2025-10-04 19:13:42.092060+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:13:42.092096+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has associations
2025-10-04 19:13:42.092128+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:13:42.092159+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:13:42.092188+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:13:42.092218+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:14:16.094436+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:14:16.094680+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has associations
2025-10-04 19:14:16.094784+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:14:16.094983+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has associations
2025-10-04 19:14:16.095075+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:14:16.095112+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has associations
2025-10-04 19:14:16.095142+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:14:16.095174+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:14:16.095200+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:14:16.095225+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:14:43.095844+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:14:43.096106+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv6#1e381ef7.8081 has associations
2025-10-04 19:14:43.096197+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:14:43.096240+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#49fee49e:8081 has associations
2025-10-04 19:14:43.096331+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:14:43.096390+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint IPv4#0af206dc:443 has associations
2025-10-04 19:14:43.096463+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:14:43.096520+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:14:43.096549+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has nothing to cleanup, no protocol instance registrars
2025-10-04 19:14:43.096603+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:endpoint] endpoint Hostname#049bd67d:443 has associations
2025-10-04 19:15:13.117482+0800  localhost DietDailyMobile[1028]: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key LogHIDTransformer in CFPrefsSearchListSource<0x600002c00a80> (Domain: com.apple.UIKit, Container: (null) Non-launch persona: 0)
2025-10-04 19:15:13.117792+0800  localhost DietDailyMobile[1028]: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key LogGESEventFilter in CFPrefsSearchListSource<0x600002c00a80> (Domain: com.apple.UIKit, Container: (null) Non-launch persona: 0)
2025-10-04 19:15:13.124431+0800  localhost DietDailyMobile[1028]: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key LogTouch in CFPrefsSearchListSource<0x600002c00a80> (Domain: com.apple.UIKit, Container: (null) Non-launch persona: 0)
2025-10-04 19:15:13.134502+0800  localhost DietDailyMobile[1028]: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key LogHitTest in CFPrefsSearchListSource<0x600002c00a80> (Domain: com.apple.UIKit, Container: (null) Non-launch persona: 0)
2025-10-04 19:15:13.172524+0800  localhost DietDailyMobile[1028]: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key LogGesture in CFPrefsSearchListSource<0x600002c00a80> (Domain: com.apple.UIKit, Container: (null) Non-launch persona: 0)
2025-10-04 19:15:13.179861+0800  localhost DietDailyMobile[1028]: (UIKitCore) [com.apple.BacklightServices:scenes] BLSBacklightFBSSceneEnvironment (BacklightUIServices) _settingsDiffActionsForScene
2025-10-04 19:15:13.180235+0800  localhost DietDailyMobile[1028]: (UIKitCore) [com.apple.BacklightServices:scenes] create BLSBacklightUISceneEnvironmentDiffAction:<_UIBacklightUISceneEnvironmentDiffAction: 0x6000000cc300>
2025-10-04 19:15:13.181171+0800  localhost DietDailyMobile[1028]: (UIKitCore) [com.apple.BacklightServices:scenes] BLSBacklightFBSSceneEnvironment (BacklightUIServices) _actionRespondersForScene
2025-10-04 19:15:13.181204+0800  localhost DietDailyMobile[1028]: (UIKitCore) [com.apple.BacklightServices:scenes] create BLSBacklightUISceneEnvironmentActionHandler:<_UIBacklightUISceneEnvironmentActionHandler: 0x6000000ddd40>
2025-10-04 19:15:13.182303+0800  localhost DietDailyMobile[1028]: (UIKitCore) [com.apple.KeyboardArbiter:Client] TX focusApplication (peekAppEvent) stealKB:Y scene:com.anonymous.DietDailyMobile-default
2025-10-04 19:15:13.185643+0800  localhost DietDailyMobile[1028]: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key LogEventDispatch in CFPrefsSearchListSource<0x600002c00a80> (Domain: com.apple.UIKit, Container: (null) Non-launch persona: 0)
2025-10-04 19:15:13.185662+0800  localhost DietDailyMobile[1028]: (UIKitCore) [com.apple.UIKit:EventDispatch] Evaluating dispatch of UIEvent: 0x600003d3e760; type: 0; subtype: 0; backing type: 11; shouldSend: 1; ignoreInteractionEvents: 0, systemGestureStateChange: 0
2025-10-04 19:15:13.185995+0800  localhost DietDailyMobile[1028]: (UIKitCore) [com.apple.UIKit:EventDispatch] Sending UIEvent type: 0; subtype: 0; to windows: 1
2025-10-04 19:15:13.186035+0800  localhost DietDailyMobile[1028]: (UIKitCore) [com.apple.UIKit:EventDispatch] Sending UIEvent type: 0; subtype: 0; to window: <UIWindow: 0x105809120>; contextId: 0x161C5C1A
2025-10-04 19:15:13.210375+0800  localhost DietDailyMobile[1028]: (UIKitCore) [com.apple.UIKit:EventDispatch] Evaluating dispatch of UIEvent: 0x600003d3e760; type: 0; subtype: 0; backing type: 11; shouldSend: 1; ignoreInteractionEvents: 0, systemGestureStateChange: 0
2025-10-04 19:15:13.210415+0800  localhost DietDailyMobile[1028]: (UIKitCore) [com.apple.UIKit:EventDispatch] Sending UIEvent type: 0; subtype: 0; to windows: 1
2025-10-04 19:15:13.210433+0800  localhost DietDailyMobile[1028]: (UIKitCore) [com.apple.UIKit:EventDispatch] Sending UIEvent type: 0; subtype: 0; to window: <UIWindow: 0x105809120>; contextId: 0x161C5C1A
2025-10-04 19:15:13.330511+0800  localhost DietDailyMobile[1028]: (React) [com.facebook.react.log:javascript] '[useDashboard] Fetching dashboard data for user:', '22e990b6-a888-4beb-9ac6-c9a145731542'
2025-10-04 19:15:13.331531+0800  localhost DietDailyMobile[1028]: (React) [com.facebook.react.log:javascript] '[DashboardService] Fetching data for userId:', '22e990b6-a888-4beb-9ac6-c9a145731542'
2025-10-04 19:15:13.355324+0800  localhost DietDailyMobile[1028]: (CFNetwork) [com.apple.CFNetwork:Default] Task <7080A958-A79A-41C5-9203-D76D7AF70BD8>.<4> resuming, timeouts(0.0, 604800.0) qos(0x19) voucher((null)) activity(00000000-0000-0000-0000-000000000000)
2025-10-04 19:15:13.356171+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] Returning should log: 0 for activity cfnetwork:foreground_task
2025-10-04 19:15:13.356295+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] Domain cfnetwork rate configured in registry as 1 / 20000
2025-10-04 19:15:13.356312+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] Domain cfnetwork rate configured after remote default override as 1 / 20000
2025-10-04 19:15:13.356323+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] After reading settings plist, domain cfnetwork rate configured as 1 / 2000000
2025-10-04 19:15:13.356333+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] After settings override, domain cfnetwork rate configured as 1 / 2000000
2025-10-04 19:15:13.356342+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] Final domain cfnetwork rate configured as 1 / 2000000
2025-10-04 19:15:13.356617+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] <nw_activity 12:2 [No UUID] (reporting strategy default)> sampled at 1 / 2000000
2025-10-04 19:15:13.356640+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] Returning should log: 0 for activity cfnetwork:foreground_task
2025-10-04 19:15:13.356654+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] Returning should log: 0 for activity cfnetwork:foreground_task
2025-10-04 19:15:13.356698+0800  localhost DietDailyMobile[1028]: (CFNetwork) [com.apple.CFNetwork:Default] [Telemetry]: Activity <nw_activity 12:2 [EF56B992-EDD6-44BA-8196-D1F357002BFC] (reporting strategy default)> on Task <7080A958-A79A-41C5-9203-D76D7AF70BD8>.<4> was not selected for reporting
2025-10-04 19:15:13.356920+0800  localhost DietDailyMobile[1028]: (CFNetwork) [com.apple.CFNetwork:Default] Task <D6D747EE-DD37-4B3B-BCED-0CAD6BB580A8>.<5> resuming, timeouts(0.0, 604800.0) qos(0x19) voucher((null)) activity(00000000-0000-0000-0000-000000000000)
2025-10-04 19:15:13.356952+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] Returning should log: 0 for activity cfnetwork:foreground_task
2025-10-04 19:15:13.356966+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] Domain cfnetwork rate configured in registry as 1 / 20000
2025-10-04 19:15:13.356976+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] Domain cfnetwork rate configured after remote default override as 1 / 20000
2025-10-04 19:15:13.356986+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] After reading settings plist, domain cfnetwork rate configured as 1 / 2000000
2025-10-04 19:15:13.356996+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] After settings override, domain cfnetwork rate configured as 1 / 2000000
2025-10-04 19:15:13.357005+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] Final domain cfnetwork rate configured as 1 / 2000000
2025-10-04 19:15:13.357017+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] <nw_activity 12:2 [No UUID] (reporting strategy default)> sampled at 1 / 2000000
2025-10-04 19:15:13.357096+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] Returning should log: 0 for activity cfnetwork:foreground_task
2025-10-04 19:15:13.357107+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:activity] Returning should log: 0 for activity cfnetwork:foreground_task
2025-10-04 19:15:13.357162+0800  localhost DietDailyMobile[1028]: (CoreFoundation) [com.apple.defaults:User Defaults] found no value for key Log_UIVisualStyleRegistry in CFPrefsSearchListSource<0x600002c00a80> (Domain: com.apple.UIKit, Container: (null) Non-launch persona: 0)
2025-10-04 19:15:13.357203+0800  localhost DietDailyMobile[1028]: (CFNetwork) [com.apple.CFNetwork:Default] [Telemetry]: Activity <nw_activity 12:2 [5759BA2B-DC04-46D6-BAFA-849C0D0F963B] (reporting strategy default)> on Task <D6D747EE-DD37-4B3B-BCED-0CAD6BB580A8>.<5> was not selected for reporting
2025-10-04 19:15:13.357183+0800  localhost DietDailyMobile[1028]: (UIKitCore) [com.apple.UIKit:_UIVisualStyleRegistry] Note: no default visual style class registered as fallback for stylable class UIActivityIndicatorView
2025-10-04 19:15:13.357370+0800  localhost DietDailyMobile[1028]: (UIKitCore) [com.apple.UIKit:_UIVisualStyleRegistry] Note: no default visual style class registered as fallback for stylable class UIActivityIndicatorView
2025-10-04 19:15:13.358197+0800  localhost DietDailyMobile[1028]: (libsystem_networkextension.dylib) [com.apple.networkextension:] ne_tracker_check_is_hostname_blocked() proceeding with the in_the_app check for hostname: lbjeyvvierxcnrytuvto.supabase.co
2025-10-04 19:15:13.358794+0800  localhost DietDailyMobile[1028]: (CoreFoundation) [com.apple.CFBundle:resources] Resource lookup at CFBundle 0x600003b00460 </Users/gilko/Library/Developer/CoreSimulator/Devices/0C9B8294-89F3-48B8-A497-1282977A6AC8/data/Containers/Bundle/Application/AB705DB3-F9A2-4615-A3C6-22806EA9FE17/DietDailyMobile.app> (executable, loaded)
	Request       : InfoPlist type: strings
	Result        : None
2025-10-04 19:15:13.359070+0800  localhost DietDailyMobile[1028]: (CoreFoundation) [com.apple.CFBundle:resources] Resource lookup at CFBundle 0x600003b00460 </Users/gilko/Library/Developer/CoreSimulator/Devices/0C9B8294-89F3-48B8-A497-1282977A6AC8/data/Containers/Bundle/Application/AB705DB3-F9A2-4615-A3C6-22806EA9FE17/DietDailyMobile.app> (executable, loaded)
	Request       : InfoPlist type: stringsdict
	Result        : None
2025-10-04 19:15:13.359137+0800  localhost DietDailyMobile[1028]: (libsystem_networkextension.dylib) [com.apple.networkextension:] ne_tracker_check_is_hostname_blocked(): hostname lbjeyvvierxcnrytuvto.supabase.co is not a tracker. Returning: ne_tracker_status_none
2025-10-04 19:15:13.359737+0800  localhost DietDailyMobile[1028]: (libsystem_networkextension.dylib) [com.apple.networkextension:] ne_tracker_check_is_hostname_blocked() proceeding with the in_the_app check for hostname: lbjeyvvierxcnrytuvto.supabase.co
2025-10-04 19:15:13.359864+0800  localhost DietDailyMobile[1028]: (CoreFoundation) [com.apple.CFBundle:resources] Resource lookup at CFBundle 0x600003b00460 </Users/gilko/Library/Developer/CoreSimulator/Devices/0C9B8294-89F3-48B8-A497-1282977A6AC8/data/Containers/Bundle/Application/AB705DB3-F9A2-4615-A3C6-22806EA9FE17/DietDailyMobile.app> (executable, loaded)
	Request       : InfoPlist type: strings
	Result        : None
2025-10-04 19:15:13.359900+0800  localhost DietDailyMobile[1028]: (CoreFoundation) [com.apple.CFBundle:resources] Resource lookup at CFBundle 0x600003b00460 </Users/gilko/Library/Developer/CoreSimulator/Devices/0C9B8294-89F3-48B8-A497-1282977A6AC8/data/Containers/Bundle/Application/AB705DB3-F9A2-4615-A3C6-22806EA9FE17/DietDailyMobile.app> (executable, loaded)
	Request       : InfoPlist type: stringsdict
	Result        : None
2025-10-04 19:15:13.359932+0800  localhost DietDailyMobile[1028]: (libsystem_networkextension.dylib) [com.apple.networkextension:] ne_tracker_check_is_hostname_blocked(): hostname lbjeyvvierxcnrytuvto.supabase.co is not a tracker. Returning: ne_tracker_status_none
2025-10-04 19:15:13.362500+0800  localhost DietDailyMobile[1028]: (CFNetwork) [com.apple.CFNetwork:ATS] Task <7080A958-A79A-41C5-9203-D76D7AF70BD8>.<4> {strength 1, tls 8, sub 0, sig 0, ciphers 1, bundle 0, builtin 0}
2025-10-04 19:15:13.364591+0800  localhost DietDailyMobile[1028]: (CFNetwork) [com.apple.CFNetwork:ATS] Task <D6D747EE-DD37-4B3B-BCED-0CAD6BB580A8>.<5> {strength 1, tls 8, sub 0, sig 0, ciphers 1, bundle 0, builtin 0}
2025-10-04 19:15:13.364675+0800  localhost DietDailyMobile[1028]: (CFNetwork) [com.apple.CFNetwork:Default] Task <7080A958-A79A-41C5-9203-D76D7AF70BD8>.<4> Alt-Svc entry found
2025-10-04 19:15:13.364785+0800  localhost DietDailyMobile[1028]: (CFNetwork) [com.apple.CFNetwork:Default] Connection 0: creating secure tcp or quic connection
2025-10-04 19:15:13.366084+0800  localhost DietDailyMobile[1028]: (Network) [com.apple.network:connection] nw_connection_create_with_id [C10] create connection to Hostname#049bd67d:443
